"","data.player","data.previous_school","data.hometown","data.height","data.weight","data.rating","data.nat","data.pos","data.st","data.status","data.position","data.team","data.team_id","data.player_id","season"
"1","Aaron Marmer","Menasha","Menasha, WI, US","0","","NA","NA","NA","NA","Enrolled","WR","Air Force",101,NA,2011
"2","Lamarse Lafayette","Daingerfield","Daingerfield, TX, US","506","175","NA","NA","NA","NA","Signed","HB","Air Force",101,NA,2011
"3","Vegas Johnson","Centennial","Peoria, AZ, US","509","180","0.7667","NA","120","24","Commit","HB","Air Force",101,NA,2011
"4","Jon Lindemann","Saguaro","Scottsdale, AZ, US","602","180","0.7667","NA","136","25","Commit","S","Air Force",101,NA,2011
"5","Christian Gann","Chaparral","Parker, CO, US","604","205","0.7667","NA","234","13","Commit","WR","Air Force",101,NA,2011
"6","Colton Huntsman","Cy Falls","Houston, TX, US","600","175","0.7667","NA","40","285","Commit","QB","Air Force",101,13850,2011
"7","Ari Uzo-Okereke","San Juan Hills","San Juan Capistrano, CA, US","605","290","0.7667","NA","154","176","Commit","T","Air Force",101,NA,2011
"8","Aaryn Bouzos","La Mirada","La Mirada, CA, US","511","185","0.7667","NA","138","178","Commit","S","Air Force",101,NA,2011
"9","Drew Dyer","Regis Jesuit","Aurora, CO, US","605","235","0.7667","NA","81","14","Commit","TE","Air Force",101,NA,2011
"10","Trevor Caswell","Stony Point","Round Rock, TX, US","601","200","0.7667","NA","148","287","Commit","LB","Air Force",101,NA,2011
"11","Cedric Parker","Hamilton","Chandler, AZ, US","600","175","0.7667","NA","137","27","Commit","CB","Air Force",101,NA,2011
"12","Trent Dennington","Colleyville Heritage","Colleyville, TX, US","600","195","0.7667","NA","141","289","Commit","S","Air Force",101,NA,2011
"13","Alec Martin","Wenatchee","Wenatchee, WA, US","605","250","0.7667","NA","156","20","Commit","T","Air Force",101,NA,2011
"14","Collin Middleton","Cedar Park","Cedar Park, TX, US","602","240","0.7667","NA","120","296","Commit","ED","Air Force",101,NA,2011
"15","Ryan Stout","Broken Arrow","Broken Arrow, OK, US","602","285","0.7667","NA","125","36","Commit","G","Air Force",101,NA,2011
"16","James Rushing","Memorial","Houston, TX, US","603","230","0.7667","NA","93","302","Commit","ED","Air Force",101,NA,2011
"17","Nate Dreslinski","Clinton","Clinton, MI, US","603","225","0.7667","NA","82","45","Commit","TE","Air Force",101,13845,2011
"18","D.J. Miolen","North Hall","Gainesville, GA, US","603","250","0.7667","NA","83","137","Commit","TE","Air Force",101,NA,2011
"19","Matt Rochell","Eagle's Landing Christian","Mcdonough, GA, US","603","235","0.7667","NA","127","139","Commit","G","Air Force",101,17572,2011
"20","Miles Fisher","Westerville Central","Westerville, OH, US","600","190","0.7667","NA","146","98","Commit","S","Air Force",101,NA,2011
"21","Troy Timmerman","Covington Catholic","Alexandria, KY, US","603","255","0.7667","NA","121","18","Commit","ED","Air Force",101,13938,2011
"22","Marcus Hendricks","Folsom","Folsom, CA, US","604","210","0.7667","NA","129","186","Commit","WR","Air Force",101,13840,2011
"23","Courtney Whitehead","Athens","Athens, TX, US","601","180","0.7667","NA","242","308","Commit","WR","Air Force",101,NA,2011
"24","Harrison Elliott","Roswell","Roswell, GA, US","603","210","0.7667","NA","131","140","Commit","WR","Air Force",101,13935,2011
"25","Kent Rollins","South Gwinnett","Snellville, GA, US","600","170","0.7667","NA","43","141","Commit","QB","Air Force",101,NA,2011
"26","Ryan Pollard","Madison","San Antonio, TX, US","508","150","0.7667","NA","146","320","Commit","CB","Air Force",101,NA,2011
"27","Max Elliot","Hoover","Hoover, AL, US","604","240","NA","NA","NA","NA","Commit","ED","Air Force",101,NA,2011
"28","Pat Bolger","Barrington","Barrington, IL, US","603","270","NA","NA","NA","NA","Commit","G","Air Force",101,NA,2011
"29","Chris Boudreaux","St. Paul's Episcopal","Mobile, AL, US","602","265","NA","NA","NA","NA","Commit","DI","Air Force",101,NA,2011
