"","data.player","data.previous_school","data.hometown","data.height","data.weight","data.rating","data.nat","data.pos","data.st","data.status","data.position","data.team","data.team_id","data.player_id","season"
"1","Ashton Barnes","Lanier","Buford, GA, US","509","180","0.7954","NA","148","193","Enrolled","WR","Air Force",101,83596,2016
"2","Josh Stoner","Worthington Kilbourne","Columbus, OH, US","510","190","0.7782","NA","54","107","Enrolled","HB","Air Force",101,NA,2016
"3","Price Morgan","Lawrence","Lawrence, KS, US","604","195","0.7698","NA","206","14","Enrolled","LB","Air Force",101,82537,2016
"4","Barton Lester","The Montgomery Academy","Montgomery, AL, US","602","180","NA","NA","NA","NA","Enrolled","QB","Air Force",101,NA,2016
"5","George Silvanic","Palmer","Colorado Springs, CO, US","605.5","237","NA","NA","NA","NA","Enrolled","ED","Air Force",101,104214,2016
"6","Cole Strange","Farragut","Knoxville, TN, US","604","250","0.7531","NA","193","94","Signed","ED","Air Force",101,NA,2016
"7","Colton Durrant","Sky View","Smithfield, UT, US","602","285","0.8333","NA","77","23","Commit","DI","Air Force",101,NA,2016
"8","Stephen Omorogbe","River Ridge","Woodstock, GA, US","604","240","0.8147","NA","77","155","Commit","TE","Air Force",101,NA,2016
"9","Parker Workman","Bingham","South Jordan, UT, US","602","210","0.7984","NA","90","31","Commit","LB","Air Force",101,NA,2016
"10","Lakota Wills","Richland","Richland, WA, US","603","225","0.7982","NA","91","28","Commit","LB","Air Force",101,57664,2016
"11","Geraud Sanders","Bishop Dunne","Dallas, TX, US","603","185","0.7965","NA","300","268","Commit","WR","Air Force",101,61094,2016
"12","Xavier Price","Judge Memorial Catholic","Salt Lake City, UT, US","603","195","0.7905","NA","321","33","Commit","WR","Air Force",101,NA,2016
"13","Gage Upshaw","Baylor School","Chattanooga, TN, US","601","222","0.7889","NA","345","54","Commit","WR","Air Force",101,NA,2016
"14","Donald Hammond III","Eagle's Landing Christian","Mcdonough, GA, US","601","206","0.7889","NA","111","214","Commit","QB","Air Force",101,82065,2016
"15","Dru Dixon","Pinnacle","Phoenix, AZ, US","600","230","0.7857","NA","112","25","Commit","LB","Air Force",101,NA,2016
"16","Jamal Hudson","Miami Central","Miami, FL, US","600","185","0.7824","NA","200","361","Commit","S","Air Force",101,NA,2016
"17","Jake Ksiazek","Salpointe Catholic","Tucson, AZ, US","603","222","0.7824","NA","117","29","Commit","LB","Air Force",101,57668,2016
"18","Eric Ward","Sam Houston","Arlington, TX, US","511","165","0.7798","NA","243","356","Commit","CB","Air Force",101,55759,2016
"19","Eric Ward","Sam Houston","Arlington, TX, US","511","165","0.7798","NA","243","356","Commit","CB","Air Force",101,55759,2016
"20","Tanner Holcomb","South Paulding","Douglasville, GA, US","604","260","0.7798","NA","20","228","Commit","C","Air Force",101,58450,2016
"21","Brandon Smyth","Brandeis","San Antonio, TX, US","602","215","0.7790","NA","122","364","Commit","LB","Air Force",101,NA,2016
"22","Kyle Johnson","The Bolles School","Jacksonville, FL, US","600","200","0.7778","NA","190","392","Commit","LB","Air Force",101,57665,2016
"23","Romario Johnson","Newton","Covington, GA, US","601","180","0.7742","NA","195","249","Commit","WR","Air Force",101,NA,2016
"24","Braden Smith","Strake Jesuit","Houston, TX, US","603","270","0.7692","NA","170","413","Commit","G","Air Force",101,NA,2016
"25","Chandler Claterbaugh","Flower Mound","Flower Mound, TX, US","601","191","0.7683","NA","224","418","Commit","S","Air Force",101,NA,2016
"26","Jacob Hennie","Santiago","Corona, CA, US","510","180","0.7667","NA","134","315","Commit","QB","Air Force",101,NA,2016
"27","Jared Porter","Redlands","Redlands, CA, US","511","175","0.7667","NA","28","320","Commit","K","Air Force",101,NA,2016
"28","Christian McFarland","Cosumnes Oaks","Elk Grove, CA, US","600","181","0.7667","NA","295","326","Commit","CB","Air Force",101,NA,2016
"29","Chris Mitchell","Mountain View","Vancouver, WA, US","601","275","0.7667","NA","28","41","Commit","C","Air Force",101,NA,2016
"30","Nat King","State College Area","State College, PA, US","603","210","0.7667","NA","238","73","Commit","LB","Air Force",101,NA,2016
"31","Ben Waters","Valor Christian","Littleton, CO, US","601","200","0.7667","NA","479","23","Commit","WR","Air Force",101,NA,2016
"32","Dalton Lawrence","Rock Canyon","Littleton, CO, US","0","","0.7667","NA","199","24","Commit","G","Air Force",101,NA,2016
"33","Jacob Keller","Los Alamitos","Los Alamitos, CA, US","602","305","0.7667","NA","209","371","Commit","G","Air Force",101,NA,2016
"34","Jon Cole","Columbine","Littleton, CO, US","0","","0.7667","NA","150","30","Commit","TE","Air Force",101,NA,2016
"35","Rhett Myers","Columbus East","Columbus, IN, US","604","235","0.7631","NA","157","46","Commit","TE","Air Force",101,60831,2016
"36","Barrett McDonald","Millard South","Omaha, NE, US","603","217","0.7598","NA","176","11","Commit","LB","Air Force",101,NA,2016
"37","Noah Powell","Fossil Ridge","Keller, TX, US","511","176","0.7598","NA","353","482","Commit","CB","Air Force",101,NA,2016
"38","Garrett Collins","Greenwood","Greenwood, AR, US","509","156","0.7598","NA","533","41","Commit","WR","Air Force",101,NA,2016
"39","Adam Farah","Forest Hills Northern","Grand Rapids, MI, US","511","170","0.7581","NA","537","102","Commit","WR","Air Force",101,61092,2016
"40","Joey Woodring","Katy","Katy, TX, US","600","260","0.7531","NA","224","497","Commit","DI","Air Force",101,82196,2016
"41","Fred Cooper","Heights","Houston, TX, US","511","200","0.7481","NA","254","510","Commit","HB","Air Force",101,NA,2016
"42","Michael Viktrup","Carmel","Carmel, IN, US","601","200","0.7431","NA","178","52","Commit","QB","Air Force",101,NA,2016
"43","Isaac Fettig","Guerin Catholic","Noblesville, IN, US","605","230","0.7431","NA","194","53","Commit","ED","Air Force",101,NA,2016
"44","Colton Parton","Madison County","Gurley, AL, US","601","215","0.7397","NA","185","176","Commit","LB","Air Force",101,57666,2016
"45","Jeremy Fejedelem","Lemont","Lemont, IL, US","511","180","NA","NA","NA","NA","Commit","CB","Air Force",101,55763,2016
"46","Prince Njoku","Fort Bend Bush","Richmond, TX, US","600","215","NA","NA","NA","NA","Commit","LB","Air Force",101,NA,2016
"47","Adonis Johnson","Samuel Clemens","Schertz, TX, US","600","177","NA","NA","NA","NA","Commit","CB","Air Force",101,NA,2016
"48","Trevor Brown","Jireh Prep","Matthews, NC, US","606","285","0.7895","10","1","3","Enrolled","ED","Akron",102,46388,2016
"49","Brandon Council","Jireh Prep","Matthews, NC, US","605","300","0.7726","13","2","4","Enrolled","T","Akron",102,41433,2016
"50","Nate Stewart","St Pius X","Pottstown, PA, US","602","200","NA","NA","NA","NA","Enrolled","WR","Akron",102,61099,2016
"51","Kato Nelson","Charles W Flanagan","Hollywood, FL, US","600","175","0.8327","NA","56","176","Signed","QB","Akron",102,40264,2016
"52","DeMarcus LLoyd","Butler C.C.","El Dorado, KS, US","600","225","0.8000","260","10","47","Signed","LB","Akron",102,NA,2016
"53","Alvin Davis","St. Thomas Aquinas","Fort Lauderdale, FL, US","511","170","0.7932","NA","162","307","Signed","S","Akron",102,NA,2016
"54","Cedric McCoy","Ellsworth C.C.","Iowa Falls, IA, US","605","330","0.7900","286","34","10","Signed","T","Akron",102,46758,2016
"55","Davon'te Jest","Forest","Ocala, FL, US","601","270","0.7817","NA","159","365","Signed","DI","Akron",102,49044,2016
"56","Davon'te Jest","Forest","Ocala, FL, US","601","270","0.7817","NA","159","365","Signed","DI","Akron",102,49044,2016
"57","Jovann Letuli","Grossmont College","El Cajon, CA, US","605","330","0.7794","339","20","104","Signed","G","Akron",102,46941,2016
