"","data.team","season","croots","exp_waa","actual_waa","waa_oe","waa_oe_per","team_id","school","mascot","abbreviation","alt_name1","alt_name2","alt_name3","conference","division","color","alt_color","logo","logo_dark","abbr"
"187","Michigan",2020,11,0.132,-0.109,-0.241,-0.0219090909090909,130,"Michigan","Wolverines","MICH",NA,"MICH","Michigan","Big Ten","East","#00274c","#ffcb05","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png","MICH20"
"188","Michigan State",2014,19,0.206,0.066,-0.14,-0.00736842105263158,127,"Michigan State","Spartans","MSU",NA,"MSU","Michigan State","Big Ten","East","#18453B","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png","MSU14"
"189","Michigan State",2015,16,0.179,0.11,-0.069,-0.0043125,127,"Michigan State","Spartans","MSU",NA,"MSU","Michigan State","Big Ten","East","#18453B","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png","MSU15"
"190","Michigan State",2016,14,0.165,1.602,1.437,0.102642857142857,127,"Michigan State","Spartans","MSU",NA,"MSU","Michigan State","Big Ten","East","#18453B","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png","MSU16"
"191","Michigan State",2017,21,0.227,-0.357,-0.584,-0.0278095238095238,127,"Michigan State","Spartans","MSU",NA,"MSU","Michigan State","Big Ten","East","#18453B","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png","MSU17"
"192","Michigan State",2018,18,0.203,-0.874,-1.077,-0.0598333333333333,127,"Michigan State","Spartans","MSU",NA,"MSU","Michigan State","Big Ten","East","#18453B","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png","MSU18"
"193","Michigan State",2019,15,0.171,-0.241,-0.412,-0.0274666666666667,127,"Michigan State","Spartans","MSU",NA,"MSU","Michigan State","Big Ten","East","#18453B","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png","MSU19"
"194","Michigan State",2020,9,0.098,-0.116,-0.214,-0.0237777777777778,127,"Michigan State","Spartans","MSU",NA,"MSU","Michigan State","Big Ten","East","#18453B","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png","MSU20"
"195","Minnesota",2014,15,0.146,-0.078,-0.224,-0.0149333333333333,135,"Minnesota","Golden Gophers","MINN",NA,"MINN","Minnesota","Big Ten","West","#7F011B","#7a0019","http://a.espncdn.com/i/teamlogos/ncaa/500/135.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/135.png","MINN14"
"196","Minnesota",2015,16,0.162,-0.049,-0.211,-0.0131875,135,"Minnesota","Golden Gophers","MINN",NA,"MINN","Minnesota","Big Ten","West","#7F011B","#7a0019","http://a.espncdn.com/i/teamlogos/ncaa/500/135.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/135.png","MINN15"
